firm_id,firm_name,year,employees,metric_name,reporting_scope,source_url,source_locator,source_type,source_retrieval_date,source_sha256,source_hash_status,scope_break_flag,scope_break_reason,verification_status,notes
SA_4190,Jarir Marketing Company,2018,4713,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2024/08/Jarir-sustainability-report_2023-EN.pdf,"Sustainability Report 2023 > Appendix A Performance Data > Workforce Overview, printed p.64 / PDF p.31",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Retrospective comparable workforce table covering 2018-2023; explicit exclusion of trainees, students and outsourced staff."
SA_4190,Jarir Marketing Company,2019,5170,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2024/08/Jarir-sustainability-report_2023-EN.pdf,"Sustainability Report 2023 > Appendix A Performance Data > Workforce Overview, printed p.64 / PDF p.31",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Retrospective comparable workforce table covering 2018-2023; explicit exclusion of trainees, students and outsourced staff."
SA_4190,Jarir Marketing Company,2020,5405,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2024/08/Jarir-sustainability-report_2023-EN.pdf,"Sustainability Report 2023 > Appendix A Performance Data > Workforce Overview, printed p.64 / PDF p.31",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Retrospective comparable workforce table covering 2018-2023; explicit exclusion of trainees, students and outsourced staff."
SA_4190,Jarir Marketing Company,2021,5554,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2024/08/Jarir-sustainability-report_2023-EN.pdf,"Sustainability Report 2023 > Appendix A Performance Data > Workforce Overview, printed p.64 / PDF p.31",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Retrospective comparable workforce table covering 2018-2023; explicit exclusion of trainees, students and outsourced staff."
SA_4190,Jarir Marketing Company,2022,5524,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2024/08/Jarir-sustainability-report_2023-EN.pdf,"Sustainability Report 2023 > Appendix A Performance Data > Workforce Overview, printed p.64 / PDF p.31",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Retrospective comparable workforce table covering 2018-2023; explicit exclusion of trainees, students and outsourced staff."
SA_4190,Jarir Marketing Company,2023,5493,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2024/08/Jarir-sustainability-report_2023-EN.pdf,"Sustainability Report 2023 > Appendix A Performance Data > Workforce Overview, printed p.64 / PDF p.31",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"2023 endpoint of the explicit six-year comparable workforce table."
SA_4190,Jarir Marketing Company,2025,5847,total_employees,"Jarir Marketing Company total employees",https://wps-media.jarir.com/wp-content/uploads/2026/04/JB_AnnualReport_2025_EN.pdf,"Annual Report 2025 > Board Report > Human Resources, printed pp.24-25 / PDF p.12",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,yes,"2025 Board Report says total employees but does not repeat the earlier sustainability table's explicit exclusions; denominator continuity should be cross-checked against a 2025 sustainability/GRI appendix before the final freeze.",source_verified_hash_pending,"Exact issuer-reported headcount; admitted as production candidate with scope-break flag rather than silently assuming identical denominator."
SA_2050,Savola Group,2020,18369,full_time_equivalent,"Savola Group FTE across HQ, Afia, Panda, USC, IFI and SFC HQ; contractors excluded",https://savola.blob.core.windows.net/website/docs/default-source/publications/savola-sr23-english.pdf,"Sustainability Report 2023 > People / workforce table, retrospective 2020-2023 FTE series",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"2023 report presents FTE and contractor counts separately; FTE chosen as primary labor metric to avoid mixing employment categories."
SA_2050,Savola Group,2021,17859,full_time_equivalent,"Savola Group FTE across HQ, Afia, Panda, USC, IFI and SFC HQ; contractors excluded",https://savola.blob.core.windows.net/website/docs/default-source/publications/savola-sr23-english.pdf,"Sustainability Report 2023 > People / workforce table, retrospective 2020-2023 FTE series",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Independently reproduced in the 2022 sustainability report's comparable FTE table."
SA_2050,Savola Group,2022,16696,full_time_equivalent,"Savola Group FTE across HQ, Afia, Panda, USC, IFI and SFC HQ; contractors excluded",https://savola.blob.core.windows.net/website/docs/default-source/publications/savola-sr23-english.pdf,"Sustainability Report 2023 > People / workforce table, retrospective 2020-2023 FTE series",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Independently reproduced in the 2022 sustainability report's comparable FTE table."
SA_2050,Savola Group,2023,15334,full_time_equivalent,"Savola Group FTE across HQ, Afia, Panda, USC, IFI and SFC HQ; contractors excluded",https://savola.blob.core.windows.net/website/docs/default-source/publications/savola-sr23-english.pdf,"Sustainability Report 2023 > People / workforce table, 2023 FTE column",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,yes,"Savola Foods exited Morocco and Iraq and Savola completed acquisition of Panda's minority stake during 2023; group portfolio changes require a scope-continuity check even though the report presents the same component categories in its FTE table.",source_verified_hash_pending,"Do not substitute the report's broader 15,959 employee headline or the 15,443 KSA-specific table for this FTE metric."
