firm_id,firm_name,year,employees,metric_name,reporting_scope,source_url,source_locator,source_type,source_retrieval_date,source_sha256,source_hash_status,scope_break_flag,scope_break_reason,verification_status,notes
SA_4190,Jarir Marketing Company,2018,4713,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/media/financialreports/financialreports/Sustainability-Report-2018_1.pdf,"Sustainability Report 2018, Appendix / Workforce Overview, PDF p.62",sustainability_report_pdf,2026-08-09,2b96921bc7b16fada3d24c8038d24f2ded7763702d7499023415b8aabcb64bad,archived_sha256_verified,no,,source_verified_hash_verified,"2018 report gives a three-year comparable workforce table: 2016=4,180; 2017=4,784; 2018=4,713."
SA_4190,Jarir Marketing Company,2019,5170,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2025/10/Jarir-sustainability-report_2024-EN.pdf,"Sustainability Report 2024, Appendix A Performance Data / Workforce Overview, PDF pp.62-63",sustainability_report_pdf,2026-08-09,19021af32fa386c9d701a98a8f69feb2e2dcf824c603389cbc58c0cfd89b5241,archived_sha256_verified,no,,source_verified_hash_verified,2024 report provides comparable 2019-2024 historical series.
SA_4190,Jarir Marketing Company,2020,5405,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2025/10/Jarir-sustainability-report_2024-EN.pdf,"Sustainability Report 2024, Appendix A Performance Data / Workforce Overview, PDF pp.62-63",sustainability_report_pdf,2026-08-09,19021af32fa386c9d701a98a8f69feb2e2dcf824c603389cbc58c0cfd89b5241,archived_sha256_verified,no,,source_verified_hash_verified,2024 report provides comparable 2019-2024 historical series.
SA_4190,Jarir Marketing Company,2021,5554,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2025/10/Jarir-sustainability-report_2024-EN.pdf,"Sustainability Report 2024, Appendix A Performance Data / Workforce Overview, PDF pp.62-63",sustainability_report_pdf,2026-08-09,19021af32fa386c9d701a98a8f69feb2e2dcf824c603389cbc58c0cfd89b5241,archived_sha256_verified,no,,source_verified_hash_verified,"2024 appendix restates the comparable measure at 5,554; earlier narrative gives 5,697 total employees under a broader boundary. Primary panel uses the explicitly defined comparable series."
SA_4190,Jarir Marketing Company,2022,5524,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2025/10/Jarir-sustainability-report_2024-EN.pdf,"Sustainability Report 2024, Appendix A Performance Data / Workforce Overview, PDF pp.62-63",sustainability_report_pdf,2026-08-09,19021af32fa386c9d701a98a8f69feb2e2dcf824c603389cbc58c0cfd89b5241,archived_sha256_verified,no,,source_verified_hash_verified,2024 report provides comparable 2019-2024 historical series.
SA_4190,Jarir Marketing Company,2023,5493,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2025/10/Jarir-sustainability-report_2024-EN.pdf,"Sustainability Report 2024, Appendix A Performance Data / Workforce Overview, PDF pp.62-63",sustainability_report_pdf,2026-08-09,19021af32fa386c9d701a98a8f69feb2e2dcf824c603389cbc58c0cfd89b5241,archived_sha256_verified,no,,source_verified_hash_verified,2024 report provides comparable 2019-2024 historical series.
SA_4190,Jarir Marketing Company,2024,5795,total_workforce,"Jarir workforce excluding trainees, students and outsourced staff",https://wps-media.jarir.com/wp-content/uploads/2025/10/Jarir-sustainability-report_2024-EN.pdf,"Sustainability Report 2024, Appendix A Performance Data / Workforce Overview, PDF pp.62-63",sustainability_report_pdf,2026-08-09,19021af32fa386c9d701a98a8f69feb2e2dcf824c603389cbc58c0cfd89b5241,archived_sha256_verified,no,,source_verified_hash_verified,"Same report's at-a-glance page gives 5,493 employees, but Appendix A reports 5,795 under the explicitly defined comparable workforce series. Panel uses Appendix A and flags the discrepancy for QA."
AE_DFM_EMIRATESNBD,Emirates NBD Bank PJSC,2019,11845,total_employees_including_consultants_contractual,"Emirates NBD, Tanfeeth and Emirates Islamic; all employees, consultants and contractual staff",https://www.emiratesnbd.com/-/media/enbd/files/investor-relations/common-pdf/esg_report_2021.pdf,"ESG Report 2021, Environment, electricity/water denominator table, PDF pp.71-72",esg_report_pdf,2026-08-09,d14fe1f9dccded24e942a278e6ec0c905abcbb094bd86947f69099dc502e16ce,archived_sha256_verified,no,,source_verified_hash_verified,2021 report states 2019 and 2020 were updated to reflect year-end data.
AE_DFM_EMIRATESNBD,Emirates NBD Bank PJSC,2020,11184,total_employees_including_consultants_contractual,"Emirates NBD, Tanfeeth and Emirates Islamic; all employees, consultants and contractual staff",https://www.emiratesnbd.com/-/media/enbd/files/investor-relations/common-pdf/esg_report_2021.pdf,"ESG Report 2021, Environment, electricity/water denominator table, PDF pp.71-72",esg_report_pdf,2026-08-09,d14fe1f9dccded24e942a278e6ec0c905abcbb094bd86947f69099dc502e16ce,archived_sha256_verified,no,,source_verified_hash_verified,Historical year-end comparator published in 2021 ESG report.
AE_DFM_EMIRATESNBD,Emirates NBD Bank PJSC,2021,12603,total_employees_including_consultants_contractual,"Emirates NBD, Tanfeeth and Emirates Islamic; all employees, consultants and contractual staff",https://www.emiratesnbd.com/-/media/enbd/files/investor-relations/common-pdf/esg_report_2021.pdf,"ESG Report 2021, Environment, electricity/water denominator table, PDF pp.71-72",esg_report_pdf,2026-08-09,d14fe1f9dccded24e942a278e6ec0c905abcbb094bd86947f69099dc502e16ce,archived_sha256_verified,no,,source_verified_hash_verified,"Source explicitly says total employees include all employees, consultants and contractual staff. Do not mix with narrower full-time-only workforce profile without reconciliation."
AE_DFM_EMIRATESNBD,Emirates NBD Bank PJSC,2024,17216,total_group_employees,Emirates NBD Group; 2024 ESG reporting scope,https://cdn.emiratesnbd.com/assets/pdf/esg_report_2024.pdf,"ESG Report 2024, About Emirates NBD, PDF pp.10-11",esg_report_pdf,2026-08-09,c4750e72dbf2f34f182d9efb7ed7536c7780f2d398eb819af97fc14efce3f39c,archived_sha256_verified,yes,2024 ESG report scope differs from the 2019-2021 denominator table and treats DenizBank separately in ESG data. Historical continuity requires reconciliation before long-panel use.,source_verified_hash_verified,"Official 2024 ESG report states total number of employees = 17,216."
