audit_id,firm_id,firm_name,year,variable,candidate_value,candidate_unit,source_class,source_url,source_locator,status,reason,required_resolution
QEWC_EMP_2024_QSE,QA_QEWS,Qatar Electricity & Water Company (QEWC),2024,employees,474,persons,qse_sustainability_current_profile,https://qse.arabsustainability.com/qewc/show-benchmarking,"QSE Sustainability Dashboard > Total workforce (FTE), 2024; QSE current company profile also displays 474",definition_conflict,"QEWC Annual Report 2024 explicitly states total workforce of 472 while QSE sustainability/current-profile surfaces 474. The annual report is retained as the primary 2024 outcome and the discrepancy is logged rather than averaged or silently resolved.","Capture/hash the 2024 annual report and QSE snapshot; investigate whether 474 reflects a different reporting cut-off, FTE convention or later profile update."
QEWC_SCOPE_2024,QA_QEWS,Qatar Electricity & Water Company (QEWC),2024,reporting_scope,,,official_company_reorganization,https://www.nebrasenergy.qa/qatar-electricity-water-company-nebras-energy-announces-reorganization-of-nebras-energy/,"Official company release, 1 Aug 2024",scope_break_confirmed,"As of July 2024 QEWC began managing Nebras Power activities and Nebras Power personnel, systems and processes were transferred to QEWC.","Keep 2024 scope-break indicator; do not interpret 2023-2024 workforce change as organic employment adjustment without perimeter reconciliation."
MILAHA_EMP_CURRENT,QA_QNNS,Qatar Navigation Q.P.S.C. (Milaha),,employees,1799,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=QNNS,"QSE current company profile > No. of Employees = 1799",current_snapshot_not_fiscal_year,"Current QSE profile does not identify the fiscal-year measurement date and Milaha's annual reports reviewed so far do not expose a matching exact headcount in searchable text.","Locate dated annual/sustainability workforce table before mapping 1,799 to any 2018-2025 firm-year."
UDC_EMP_CURRENT,QA_UDCD,United Development Company Q.P.S.C.,,employees,145,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=UDCD,"QSE current company profile > No. of Employees = 145",current_snapshot_not_fiscal_year,"QSE profile currently displays 145 but another current profile rendering has omitted the field; the value lacks a fiscal-year attribution and scope definition.","Cross-check UDC annual report/CSR workforce disclosure and preserve dated snapshot before panel admission."
CBQ_EMP_CURRENT_A,QA_CBQK,Commercial Bank of Qatar,,employees,2216,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=CBQK,"QSE current profile rendering > No. of Employees = 2216",volatile_current_profile_conflict,"QSE crawler/renderings currently expose different employee values (2,216 and 2,301) without a fiscal-year date.","Do not choose a value from profile volatility; obtain exact annual/sustainability report workforce table and reporting perimeter."
CBQ_EMP_CURRENT_B,QA_CBQK,Commercial Bank of Qatar,,employees,2301,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=CBQK&FromLocalSite=N&InformationCategory=Company&InformationType=News&MoreNewsTitle=3,"Alternative QSE current profile rendering > No. of Employees = 2301",volatile_current_profile_conflict,"Same QSE issuer profile has been crawled with 2,301 employees while another current rendering shows 2,216, demonstrating that the profile is a mutable snapshot rather than a historical observation.","Require dated annual-report value; retain both snapshots only as audit evidence."
GWC_EMP_CURRENT,QA_GWCS,Gulf Warehousing Company Q.P.S.C.,,employees,2600,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=GWCS,"QSE current company profile > No. of Employees = 2600",current_snapshot_not_fiscal_year,"Current QSE profile displays 2,600 but does not identify a 2018-2025 fiscal-year date. GWC's 2022 World Cup communications separately describe a temporary/dedicated workforce of 5,000+, showing why scope cannot be assumed.","Locate exact year-end workforce in GWC sustainability/annual reports; keep event workforce and current profile out of primary panel until reconciled."
GWC_EMP_2022_EVENT,QA_GWCS,Gulf Warehousing Company Q.P.S.C.,2022,employees,5000+,persons,official_company_news,https://www.gwclogistics.com/news/gwc-announces-annual-financial-results-with-qar-239-6-in-net-profits-for-2022/,"Official FY2022 results release > FIFA World Cup Qatar 2022 section",rounded_event_scope_not_primary,"Issuer says it built a dedicated workforce of 5,000+ across diverse geographies for World Cup logistics. This is not demonstrated to be the same boundary as consolidated year-end employees.","Retain as event-capacity evidence only; do not promote to exact employment outcome without annual/ESG reconciliation."
IQ_EMP_CURRENT,QA_IQCD,Industries Qatar Q.P.S.C.,,employees,3764,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=IQCD,"QSE current profile > No. of Employees = 3764",holding_company_scope_unresolved,"IQ is a holding company whose head-office services are provided by QatarEnergy while operating subsidiaries are independently managed; the profile count's perimeter is not stated clearly enough for a firm-year labor outcome.","Map whether 3,764 covers IQ consolidated subsidiaries, one operating company, or another perimeter; obtain annual-report workforce definition before use."
NAKILAT_EMP_CURRENT,QA_QGTS,Qatar Gas Transport Company Ltd. (Nakilat),,employees,,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=QGTS,"QSE current company profile > No. of Employees blank",explicit_missingness,"Current QSE profile provides no employee value.","Inspect Nakilat annual/sustainability reports; preserve missingness rather than substitute third-party employment estimates."
BARWA_EMP_CURRENT,QA_BRES,Barwa Real Estate Company Q.P.S.C.,,employees,,persons,qse_current_profile,https://www.qe.com.qa/company-profile?CompanyCode=BRES,"QSE current company profile > No. of Employees blank",explicit_missingness,"Current QSE profile provides no employee value.","Use Barwa annual/sustainability report if a definitional workforce total exists; otherwise preserve explicit missingness."
