audit_id,firm_id,firm_name,year,variable,candidate_value,candidate_unit,source_class,source_url,source_locator,status,reason,required_resolution
SABIC_EMP_2021,SA_2010,Saudi Basic Industries Corporation (SABIC),2021,employees,31000+,persons,official_annual_report_html,https://www.sabic.com/en/reports/annual-2021,"Annual Report 2021 > This is SABIC",rounded_official_candidate,"Official report gives 31,000+ globally rather than an exact year-end headcount.","Locate exact GRI/workforce table if available; otherwise preserve as rounded descriptive evidence and exclude from exact-headcount primary outcome."
SABIC_EMP_2022,SA_2010,Saudi Basic Industries Corporation (SABIC),2022,employees,31000+,persons,official_annual_report_html,https://www.sabic.com/en/reports/annual-2022,"Annual Report 2022 > This is SABIC / At a Glance",rounded_official_candidate,"Official report gives 31,000+ globally, including the Metals (Hadeed) business in the stated corporate footprint.","Locate exact GRI/workforce table if available; otherwise keep outside exact-headcount primary outcome."
SABIC_EMP_2023,SA_2010,Saudi Basic Industries Corporation (SABIC),2023,employees,32000+,persons,official_integrated_report_html,https://www.sabic.com/en/reports/integrated-report-2023/at-a-glance,"Integrated Annual Report 2023 > At a Glance",rounded_scope_break,"Official report gives 32,000+ and explicitly says this includes approximately 3,300 Hadeed employees. Hadeed was divested as part of portfolio optimization, so direct comparison with 2024 is structurally contaminated.","Obtain exact like-for-like continuing-operations workforce if disclosed; otherwise flag 2023-2024 boundary and do not interpret the drop as labor adjustment."
SABIC_EMP_2024,SA_2010,Saudi Basic Industries Corporation (SABIC),2024,employees,28000+,persons,official_integrated_report_html,https://www.sabic.com/en/reports/integrated-report-2024/at-a-glance,"Integrated Annual Report 2024 > At a Glance",rounded_scope_break,"Official report gives 28,000+ after SABIC completed the Hadeed and Functional Forms divestments in 2024; the corporate boundary differs materially from 2023.","Require continuing-operations workforce or a documented structural-break treatment before inclusion in employment-change analyses."
SABIC_EMP_2025,SA_2010,Saudi Basic Industries Corporation (SABIC),2025,employees,26000+,persons,official_integrated_report_html,https://www.sabic.com/en/reports/integrated-report-2025,"Integrated Annual Report 2025 > This is SABIC / Workforce Management",rounded_official_candidate,"Official report gives 26,000+ employees globally; the figure remains rounded and follows prior portfolio optimization.","Search detailed workforce/GRI annex for exact count and map continuing-operation scope before promotion."
MAADEN_EMP_2025_CURRENT,SA_1211,Saudi Arabian Mining Company (Ma'aden),2025,employees,7000+,persons,official_company_news,https://www.maaden.com/news-insights/latest-news/maaden-and-mp-materials-collaborate-to-establish-full-value-chain-for-rare-earthmagnetics,"Official release, 14 May 2025 > About Maaden",rounded_current_candidate,"Issuer states a skilled workforce of more than 7,000, but this is a rounded current-company description rather than an exact year-end annual-report outcome.","Use 2025 annual/sustainability workforce table for exact year-end headcount and comparable scope."
MAADEN_AI_UNDATED,SA_1211,Saudi Arabian Mining Company (Ma'aden),,ai_treatment,,label,official_company_technology_page,https://www.maaden.com/en/our-innovation/tech-innovations,"Tech Innovations > Exploration",operational_evidence_date_unresolved,"Current official page says Ma'aden leverages AI and data modelling to enhance mineral exploration, a core mining function, but the page does not establish when deployment began.","Trace this use to a dated annual report, project announcement or dated Ivanhoe/Typhoon deployment disclosure before assigning treatment year."
MAADEN_DIGITAL_MINE_2024,SA_1211,Saudi Arabian Mining Company (Ma'aden),2024,ai_treatment,,label,official_company_news,https://www.maaden.com/news-insights/latest-news/maaden-and-hexagon-partner-to-launch-regions-first-digital-m-20240115-593,"Official release, 15 Jan 2024",digital_not_explicit_ai,"Hexagon sensor, software, autonomous and intelligent-data technologies were successfully deployed at Mansourah Massarah, but the dated release does not explicitly identify the deployed system as AI.","Retain as digitalization context only; do not use as AI treatment unless another dated primary source explicitly links the deployment to AI."
SEC_EMP_2024_A,SA_5110,Saudi Electricity Company,2024,employees,29699,persons,company_database,https://www.decypha.com/en/company-list/Saudi-Electricity-Co-337,"Decypha company profile; employees as of 2024",external_candidate_needs_primary_crosscheck,"Multiple secondary sources attribute 29,699 employees to 2024 and one article says the 2024 annual report contains that value, but the exact official workforce table has not yet been captured in this pass.","Verify against SEC 2024 annual report and record exact reporting scope/page/hash before promotion."
SEC_EMP_2024_B,SA_5110,Saudi Electricity Company,2024,employees,32200,persons,vendor_award_submission,https://www.sap.com/documents/2025/03/80214e09-fb7e-0010-bca6-c68f7e60039b.html,"SAP Innovation Awards 2025 company information",blocked_definition_conflict,"SAP award material lists 32,200 employees, materially above the 29,699 figure attributed elsewhere to 2024. Timing and entity boundary may differ.","Do not choose between values. Reconcile against SEC's own 2024 annual-report workforce table and define group/company/full-time boundary."
