firm_id,firm_name,year,employees,metric_name,reporting_scope,source_url,source_locator,source_type,source_retrieval_date,source_sha256,source_hash_status,scope_break_flag,scope_break_reason,verification_status,notes
SA_2222,Saudi Arabian Oil Company (Aramco),2018,67947,company_employees,"in-Kingdom wholly owned operated assets",https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2019-english.pdf,"Annual Report 2019, workforce table, PDF p.80",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,yes,"2019 report explicitly describes the historical workforce series as in-Kingdom wholly owned operated assets; later reports use 'Company employees'. Treat boundary continuity as requiring audit.",source_verified_hash_pending,"2018 figure reported alongside 2019 and restated in the 2019 report."
SA_2222,Saudi Arabian Oil Company (Aramco),2019,69867,company_employees,"in-Kingdom wholly owned operated assets",https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2019-english.pdf,"Annual Report 2019, workforce table, PDF p.80",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,yes,"2019 report explicitly describes the workforce measure as in-Kingdom wholly owned operated assets; later reports use 'Company employees'. Treat boundary continuity as requiring audit.",source_verified_hash_pending,
SA_2222,Saudi Arabian Oil Company (Aramco),2020,66800,company_employees,"Saudi Arabian Oil Company / Company",https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2020-english.pdf,"Annual Report 2020, workforce table, PDF p.85",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,yes,"Boundary label changes relative to 2018-2019 historical table; retain until like-for-like scope is independently checked.",source_verified_hash_pending,
SA_2222,Saudi Arabian Oil Company (Aramco),2021,68493,company_employees,"Saudi Arabian Oil Company (Company)",https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/sections/ara-2025-sustainability-english.pdf,"Annual Report 2025 p.74 / PDF p.7, five-year workforce series",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"2025 report supplies comparable 2021-2025 series."
SA_2222,Saudi Arabian Oil Company (Aramco),2022,70496,company_employees,"Saudi Arabian Oil Company (Company)",https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/sections/ara-2025-sustainability-english.pdf,"Annual Report 2025 p.74 / PDF p.7, five-year workforce series",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"2025 report supplies comparable 2021-2025 series."
SA_2222,Saudi Arabian Oil Company (Aramco),2023,73311,company_employees,"Saudi Arabian Oil Company (Company)",https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/sections/ara-2025-sustainability-english.pdf,"Annual Report 2025 p.74 / PDF p.7, five-year workforce series",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"2025 report supplies comparable 2021-2025 series."
SA_2222,Saudi Arabian Oil Company (Aramco),2024,75118,company_employees,"Saudi Arabian Oil Company (Company)",https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/sections/ara-2025-sustainability-english.pdf,"Annual Report 2025 p.74 / PDF p.7, five-year workforce series",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"2025 report supplies comparable 2021-2025 series."
SA_2222,Saudi Arabian Oil Company (Aramco),2025,76664,company_employees,"Saudi Arabian Oil Company (Company)",https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/sections/ara-2025-sustainability-english.pdf,"Annual Report 2025 p.74 / PDF p.7, five-year workforce series",annual_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"2025 figure is subject to the report's stated assurance footnote."
SA_1120,Al Rajhi Banking and Investment Corporation,2018,13003,total_group_workforce,"Al Rajhi Group; permanent + contract + outsourced",https://www.alrajhibank.com.sa/ir22/business_in_perspective/human_resources.html,"Annual Report 2022 > Human Resources > Workforce analysis",annual_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Retrospective five-year table in 2022 report."
SA_1120,Al Rajhi Banking and Investment Corporation,2019,13439,total_group_workforce,"Al Rajhi Group; permanent + contract + outsourced",https://www.alrajhibank.com.sa/ir22/business_in_perspective/human_resources.html,"Annual Report 2022 > Human Resources > Workforce analysis",annual_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Retrospective five-year table in 2022 report."
